Type,Country,30-min spatial accessibility,60- min spatial accessibility,30-min without spatial accessibility,60-min without spatial accessibility,
Population [/],Serbia,"1,042,319","1,331,723","310,923","21,519",
Percentage [%],Serbia,76.15,97.29,22.71,1.57,
